,average_main_abilities,average_sub_abilities,ability_count_mainwonsub,result
10,"tensor([-14.1818,   0.0000, 185.0909,  77.4545,   0.7273,  24.9091,  77.0000,
         74.3636,  64.8182,  61.1818,  65.9091,  74.0000,  81.8182,  66.2727,
         65.8182,  75.7273,  79.7273,  67.0000,  77.0000,  73.4545,  71.4545,
         77.8182,  74.0000,  67.6364,  74.5455,  73.8182,  74.0000,  65.2727,
         77.0000,  58.1818,  63.4545,  67.3636,  60.1818,  61.0000,  57.6364,
         15.1818,  16.5455,  17.0000,  15.7273,  17.0000])","tensor([ 13.0909,   0.0000, 182.4545,  77.2727,   0.7273,  26.2727,  72.7273,
         69.1818,  59.3636,  59.9091,  61.8182,  65.0000,  78.3636,  62.2727,
         62.6364,  70.0909,  76.0909,  62.7273,  74.4545,  67.2727,  73.0000,
         74.8182,  71.0909,  65.7273,  72.0909,  71.0909,  68.1818,  58.3636,
         70.0909,  55.4545,  57.1818,  61.0909,  52.6364,  54.6364,  45.9091,
         16.7273,  17.0909,  17.7273,  18.0909,  16.8182])",31,tensor([0])
11,"tensor([-14.0000,   0.0000, 184.2727,  76.4545,   0.4545,  25.7273,  68.8182,
         64.4545,  53.2727,  49.0909,  52.9091,  61.5455,  70.8182,  60.5455,
         52.0000,  66.3636,  69.7273,  57.5455,  68.7273,  62.1818,  69.0000,
         75.8182,  69.4545,  64.9091,  70.4545,  67.2727,  63.3636,  58.1818,
         67.9091,  53.5455,  55.7273,  55.4545,  49.4545,  55.0000,  50.4545,
         15.1818,  15.3636,  14.3636,  16.0909,  16.3636])","tensor([ 13.6364,   0.0000, 182.9091,  77.0909,   0.5455,  26.3636,  74.2727,
         69.5455,  57.5455,  58.5455,  58.7273,  64.2727,  78.2727,  63.9091,
         60.6364,  72.7273,  74.5455,  65.5455,  74.8182,  69.0000,  73.8182,
         73.2727,  69.9091,  67.1818,  73.0000,  71.3636,  61.0909,  54.8182,
         72.6364,  56.2727,  60.7273,  66.2727,  58.1818,  59.6364,  49.9091,
         15.5455,  16.9091,  18.0000,  18.5455,  18.2727])",5,tensor([1])
12,"tensor([-14.0000,   0.0000, 180.1818,  74.6364,   0.9091,  25.2727,  69.9091,
         67.4545,  55.4545,  55.0000,  59.7273,  64.9091,  72.4545,  53.4545,
         53.8182,  66.7273,  72.6364,  58.4545,  70.8182,  66.5455,  70.9091,
         66.0909,  65.4545,  69.8182,  69.3636,  69.2727,  65.8182,  58.0000,
         63.6364,  49.1818,  55.2727,  54.3636,  46.5455,  47.1818,  44.9091,
         14.7273,  17.2727,  16.6364,  16.5455,  16.3636])","tensor([ 14.0000,   0.0000, 182.7273,  76.2727,   0.8182,  28.1818,  78.7273,
         75.0000,  66.8182,  62.8182,  68.6364,  72.8182,  85.3636,  68.1818,
         69.8182,  75.7273,  82.3636,  69.5455,  78.0909,  76.1818,  72.6364,
         79.8182,  72.7273,  70.8182,  73.3636,  73.8182,  75.0909,  66.7273,
         75.9091,  61.9091,  66.2727,  71.0909,  58.7273,  64.8182,  58.3636,
         13.9091,  16.8182,  17.1818,  15.2727,  17.5455])",4,tensor([1])
13,"tensor([-14.0000,   0.0000, 183.7273,  77.7273,   0.7273,  26.9091,  74.6364,
         70.9091,  63.9091,  60.9091,  64.5455,  74.3636,  79.5455,  64.2727,
         64.7273,  71.7273,  78.3636,  65.0909,  76.2727,  69.6364,  65.0909,
         74.1818,  75.8182,  66.4545,  67.0000,  67.0000,  73.7273,  68.0909,
         75.8182,  63.4545,  62.6364,  61.0000,  52.5455,  59.8182,  60.2727,
         15.9091,  17.9091,  16.8182,  16.3636,  17.8182])","tensor([ 12.7273,   0.0000, 183.4545,  75.4545,   0.5455,  26.2727,  68.6364,
         64.1818,  53.0909,  50.3636,  52.6364,  60.2727,  69.5455,  59.5455,
         54.2727,  66.3636,  69.5455,  57.6364,  68.1818,  63.5455,  67.3636,
         76.1818,  67.8182,  65.9091,  68.3636,  67.1818,  61.8182,  56.1818,
         67.2727,  53.0000,  55.5455,  55.2727,  50.3636,  54.3636,  49.4545,
         15.0000,  15.9091,  14.6364,  16.0000,  16.5455])",34,tensor([0])
14,"tensor([-14.0000,   0.0000, 182.2727,  79.6364,   0.9091,  25.2727,  73.1818,
         70.1818,  58.1818,  54.1818,  57.0000,  64.9091,  80.3636,  65.3636,
         57.7273,  69.1818,  75.1818,  62.4545,  72.3636,  63.4545,  72.0000,
         74.3636,  70.9091,  68.5455,  72.4545,  72.1818,  72.6364,  61.0909,
         73.0000,  57.5455,  58.9091,  60.7273,  56.9091,  56.3636,  57.2727,
         16.6364,  16.8182,  16.2727,  15.0909,  17.2727])","tensor([ 15.2727,   0.0000, 184.1818,  82.1818,   0.8182,  27.9091,  76.0909,
         71.7273,  65.1818,  61.0000,  62.3636,  74.0000,  82.3636,  66.2727,
         63.9091,  70.3636,  79.5455,  66.8182,  77.0000,  73.7273,  70.0909,
         76.4545,  73.3636,  67.5455,  71.7273,  68.9091,  73.4545,  65.1818,
         78.3636,  60.1818,  65.4545,  66.0909,  59.0909,  62.0909,  55.6364,
         17.0000,  18.2727,  15.9091,  16.3636,  17.9091])",7,tensor([1])
15,"tensor([-13.8182,   0.0000, 182.2727,  74.7273,   0.7273,  28.7273,  69.0909,
         67.1818,  55.9091,  54.4545,  58.7273,  71.0000,  73.6364,  60.5455,
         57.6364,  66.4545,  71.0000,  64.1818,  69.7273,  63.2727,  66.9091,
         69.0909,  69.5455,  67.3636,  66.9091,  70.2727,  64.6364,  58.8182,
         65.8182,  54.4545,  57.0000,  56.0909,  49.9091,  56.4545,  48.8182,
         16.8182,  17.4545,  16.2727,  15.9091,  17.0000])","tensor([ 15.2727,   0.0000, 184.1818,  82.1818,   0.8182,  27.9091,  76.0909,
         71.7273,  65.1818,  61.0909,  62.5455,  74.5455,  82.7273,  66.5455,
         63.9091,  70.6364,  79.5455,  67.0000,  77.0909,  73.7273,  70.0909,
         76.4545,  73.3636,  68.0000,  71.7273,  68.9091,  73.4545,  65.1818,
         78.5455,  60.3636,  65.9091,  66.2727,  59.0909,  62.0909,  55.9091,
         17.0000,  18.2727,  15.9091,  16.3636,  17.9091])",3,tensor([1])
16,"tensor([-13.0909,   0.0000, 182.9091,  79.5455,   0.7273,  27.8182,  67.7273,
         65.5455,  53.9091,  54.0909,  59.3636,  65.6364,  70.9091,  61.3636,
         56.7273,  64.7273,  70.2727,  57.2727,  69.9091,  62.0909,  68.0909,
         70.0909,  74.7273,  69.8182,  71.4545,  72.1818,  72.3636,  63.4545,
         68.2727,  54.4545,  55.7273,  55.2727,  49.3636,  56.7273,  50.8182,
         14.9091,  19.2727,  18.5455,  16.9091,  17.4545])","tensor([ 14.0000,   0.0000, 182.8182,  77.2727,   0.8182,  27.7273,  79.3636,
         76.0909,  66.6364,  63.0909,  68.6364,  71.8182,  87.0909,  68.2727,
         68.5455,  78.8182,  82.9091,  70.0000,  80.2727,  77.2727,  73.5455,
         79.2727,  74.0909,  69.8182,  73.6364,  72.6364,  73.5455,  67.0909,
         77.0909,  61.6364,  65.7273,  71.7273,  58.8182,  62.9091,  59.0909,
         15.6364,  17.5455,  18.8182,  16.8182,  18.4545])",6,tensor([1])
17,"tensor([-14.0000,   0.0000, 182.4545,  76.2727,   0.6364,  26.0000,  78.8182,
         75.2727,  62.0909,  55.2727,  60.7273,  67.0909,  84.0000,  68.5455,
         59.3636,  75.6364,  81.7273,  68.5455,  80.1818,  76.0909,  78.4545,
         79.1818,  71.1818,  72.5455,  76.2727,  74.8182,  68.1818,  61.0000,
         77.7273,  61.0000,  64.2727,  66.6364,  58.9091,  56.1818,  57.5455,
         19.3636,  17.9091,  16.2727,  18.5455,  16.7273])","tensor([ 15.6364,   0.0000, 184.3636,  76.7273,   0.7273,  26.4545,  65.4545,
         62.0909,  57.9091,  51.1818,  54.0000,  61.6364,  68.8182,  53.5455,
         53.0909,  60.0000,  64.9091,  56.5455,  65.6364,  58.4545,  68.3636,
         69.1818,  70.0909,  62.9091,  68.3636,  66.9091,  64.0909,  57.6364,
         57.4545,  47.6364,  49.6364,  49.8182,  43.2727,  52.0909,  42.4545,
         15.7273,  16.7273,  16.8182,  15.3636,  16.0909])",33,tensor([1])
18,"tensor([-14.0000,   0.0000, 182.8182,  77.2727,   0.8182,  27.7273,  79.3636,
         76.0909,  66.6364,  63.0909,  68.6364,  71.8182,  87.0909,  68.2727,
         68.5455,  78.8182,  82.9091,  70.0000,  80.2727,  77.2727,  73.5455,
         79.2727,  74.0909,  69.8182,  73.6364,  72.6364,  73.5455,  67.0909,
         77.0909,  61.6364,  65.7273,  71.7273,  58.8182,  62.9091,  59.0909,
         15.6364,  17.5455,  18.8182,  16.8182,  18.4545])","tensor([ 15.6364,   0.0000, 184.3636,  76.7273,   0.7273,  26.4545,  65.4545,
         62.0909,  57.9091,  51.1818,  54.0000,  61.6364,  68.8182,  53.5455,
         53.0909,  60.0000,  64.9091,  56.5455,  65.6364,  58.4545,  68.3636,
         69.1818,  70.0909,  62.9091,  68.3636,  66.9091,  64.0909,  57.6364,
         57.4545,  47.6364,  49.6364,  49.8182,  43.2727,  52.0909,  42.4545,
         15.7273,  16.7273,  16.8182,  15.3636,  16.0909])",36,tensor([1])
19,"tensor([-15.2727,   0.0000, 179.2727,  73.0000,   0.6364,  27.4545,  75.0909,
         72.9091,  57.6364,  51.6364,  55.0000,  69.8182,  77.1818,  62.0909,
         57.0000,  73.3636,  76.7273,  66.2727,  74.0000,  69.1818,  72.0909,
         73.5455,  66.8182,  73.3636,  72.3636,  73.7273,  72.9091,  56.5455,
         72.6364,  58.8182,  61.2727,  64.4545,  51.0000,  57.8182,  55.6364,
         18.0000,  17.5455,  18.9091,  16.4545,  16.5455])","tensor([ 15.2727,   0.0000, 183.8182,  81.4545,   0.8182,  27.5455,  76.3636,
         72.0000,  65.0909,  60.9091,  62.2727,  74.2727,  82.8182,  67.4545,
         63.9091,  70.0000,  79.3636,  67.0909,  77.0909,  73.4545,  71.1818,
         76.5455,  73.0000,  68.3636,  73.0000,  69.6364,  72.7273,  66.0000,
         78.2727,  59.8182,  66.2727,  66.0909,  58.6364,  61.0000,  56.0000,
         16.8182,  18.2727,  16.5455,  16.6364,  17.7273])",8,tensor([1])
