timestamp,team1,team1_shape,team1_positions_x,team1_positions_y,team1_player1_name,team1_player2_name,team1_player3_name,team1_player4_name,team1_player5_name,team1_player6_name,team1_player7_name,team1_player8_name,team1_player9_name,team1_player10_name,team1_player11_name,team2,team2_shape,team2_positions_x,team2_positions_y,team2_player1_name,team2_player2_name,team2_player3_name,team2_player4_name,team2_player5_name,team2_player6_name,team2_player7_name,team2_player8_name,team2_player9_name,team2_player10_name,team2_player11_name,result,score
2020-09-20 00:30:00,MAN,4-2-3-1_L,"[-24, -19, -21, -21, -19, -15, -15, -11, -9, -11, -3]","[0, 9, 3, -3, -9, 3, -3, 9, 0, -9, 0]",David de Gea,Luke Shaw,Harry Maguire,Victor Lindelöf,Timothy Fosu-Mensah,Scott McTominay,Paul Pogba,Marcus Rashford,Bruno Fernandes,Daniel James,Anthony Martial,CRY,4-4-2_R,"[24, 18, 20, 20, 18, 10, 12, 12, 10, 4, 4]","[0, -9, -3, 3, 9, -9, -3, 3, 9, -3, 3]",Vicente Guaita,Tyrick Mitchell,Mamadou Sakho,Cheikhou Kouyaté,Joel Ward,Jeff Schlupp,James McCarthy,James McArthur,Andros Townsend,Wilfried Zaha,Jordan Ayew,0,1-3
2020-09-20 03:00:00,ARS,3-4-3_L,"[-24, -18, -20, -18, -12, -12, -12, -12, -6, -4, -6]","[0, 8, 0, -8, 9, 3, -3, -9, 8, 0, -8]",Bernd Leno,Sead Kolasinac,Gabriel1,Rob Holding,Bukayo Saka,Granit Xhaka,Dani Ceballos,Héctor Bellerín,Pierre-Emerick Aubameyang,Alexandre Lacazette,Willian,WHU,5-4-1_R,"[24, 18, 20, 20, 20, 18, 12, 12, 12, 12, 4]","[0, -10, -5, 0, 5, 10, -9, -3, 3, 9, 0]",Lukasz Fabianski,Arthur Masuaku,Aaron Cresswell,Angelo Ogbonna,Issa Diop,Ryan Fredericks,Pablo Fornals,Declan Rice,Tomás Soucek,Jarrod Bowen,Michail Antonio,2,2-1
2020-09-20 19:00:00,SOU,4-4-2_L,"[-24, -18, -20, -20, -18, -10, -12, -12, -10, -4, -4]","[0, 9, 3, -3, -9, 9, 3, -3, -9, 3, -3]",Alex McCarthy,Ryan Bertrand,Jan Bednarek,Jack Stephens,Kyle Walker-Peters,Moussa Djenepo,Oriol Romeu,James Ward-Prowse,Stuart Armstrong,Danny Ings,Ché Adams,TOT,4-3-3-a_R,"[24, 18, 20, 20, 18, 12, 10, 12, 6, 4, 6]","[0, -9, -3, 3, 9, -3, 0, 3, -8, 0, 8]",Hugo Lloris,Ben Davies1,Eric Dier,Davinson Sánchez,Matt Doherty,Harry Winks,Tanguy Ndombele,Pierre-Emile Hojbjerg,Son Heung-Min,Harry Kane,Lucas Moura,0,2-5
2020-09-20 21:00:00,NEW,4-4-2_L,"[-24, -18, -20, -20, -18, -10, -12, -12, -10, -4, -4]","[0, 9, 3, -3, -9, 9, 3, -3, -9, 3, -3]",Karl Darlow,Jamal Lewis,Federico Fernández,Jamaal Lascelles,Javier Manquillo,Allan Saint-Maximin,Isaac Hayden,Jonjo Shelvey,Jeff Hendrick,Callum Wilson,Andy Carroll,BHA,3-4-3_R,"[24, 18, 20, 18, 12, 12, 12, 12, 6, 4, 6]","[0, -8, 0, 8, -9, -3, 3, 9, -8, 0, 8]",Mat Ryan,Adam Webster,Lewis Dunk,Ben White,Solly March,Steven Alzate,Yves Bissouma,Tariq Lamptey,Neal Maupay,Aaron Connolly,Leandro Trossard,0,0-3
2020-09-20 23:30:00,CHE,4-3-3-d_L,"[-24, -18, -20, -20, -18, -12, -14, -12, -6, -4, -6]","[0, 9, 3, -3, -9, 3, 0, -3, 8, 0, -8]",Kepa Arrizabalaga,Marcos Alonso,Kurt Zouma,Andreas Christensen,Reece James,Mateo Kovacic,N'Golo Kanté,Jorginho,Timo Werner,Kai Havertz,Mason Mount,LIV,4-3-3-d_R,"[24, 18, 20, 20, 18, 12, 14, 12, 6, 4, 6]","[0, -9, -3, 3, 9, -3, 0, 3, -8, 0, 8]",Alisson,Andy Robertson,Virgil van Dijk,Fabinho,Trent Alexander-Arnold,Georginio Wijnaldum,Jordan Henderson,Naby Keita,Sadio Mané,Roberto Firmino,Mohamed Salah,0,0-2
2020-09-21 02:00:00,LEI,4-1-4-1_L,"[-24, -19, -21, -21, -19, -15, -7, -9, -9, -7, -3]","[0, 9, 3, -3, -9, 0, 9, 3, -3, -9, 0]",Kasper Schmeichel,James Justin,Caglar Söyüncü,Wilfred Ndidi,Timothy Castagne,Nampalys Mendy,Harvey Barnes,Dennis Praet,Youri Tielemans,Ayoze Pérez,Jamie Vardy,BUR,4-4-2_R,"[24, 18, 20, 20, 18, 10, 12, 12, 10, 4, 4]","[0, -9, -3, 3, 9, -9, -3, 3, 9, -3, 3]",Nick Pope,Charlie Taylor,Jimmy Dunne,Kevin Long,Phil Bardsley,Dwight McNeil,Josh Brownhill,Ashley Westwood,Robbie Brady,Chris Wood,Jay Rodriguez,2,4-2
2020-09-22 01:00:00,AVL,4-3-3-a_L,"[-24, -18, -20, -20, -18, -12, -10, -12, -6, -4, -6]","[0, 9, 3, -3, -9, 3, 0, -3, 8, 0, -8]",Emiliano Martínez,Matt Targett,Tyrone Mings,Ezri Konsa,Matthew Cash,Douglas Luiz,John McGinn,Conor Hourihane,Jack Grealish,Ollie Watkins,Trézéguet,SHU,3-5-2_R,"[24, 21, 21, 21, 11, 15, 9, 15, 11, 3, 3]","[0, -8, 0, 8, -9, -3, 0, 3, 9, -3, 3]",Aaron Ramsdale,Jack O'Connell,John Egan,Chris Basham,Enda Stevens,John Fleck,Sander Berge,John Lundstram,George Baldock,David McGoldrick,Oliver Burke,2,1-0
2020-09-22 03:15:00,WOL,5-3-2_L,"[-24, -18, -20, -20, -20, -18, -12, -12, -12, -4, -4]","[0, 10, 5, 0, -5, -10, 6, 0, -6, 3, -3]",Rui Patrício,Fernando Marçal,Romain Saïss,Conor Coady,Willy Boly,Adama Traoré2,Pedro Neto,Rúben Neves,João Moutinho,Daniel Podence,Raúl Jiménez,MNC,4-2-3-1_R,"[24, 19, 21, 21, 19, 15, 15, 11, 9, 11, 3]","[0, -9, -3, 3, 9, -3, 3, -9, 0, 9, 0]",Ederson,Benjamin Mendy,Nathan Aké,John Stones,Kyle Walker,Rodri,Fernandinho,Raheem Sterling,Kevin De Bruyne,Phil Foden,Gabriel Jesus,0,1-3
2020-09-26 19:30:00,BHA,3-4-3_L,"[-24, -18, -20, -18, -12, -12, -12, -12, -6, -4, -6]","[0, 8, 0, -8, 9, 3, -3, -9, 8, 0, -8]",Mat Ryan,Adam Webster,Lewis Dunk,Ben White,Solly March,Steven Alzate,Adam Lallana,Tariq Lamptey,Neal Maupay,Aaron Connolly,Leandro Trossard,MAN,4-2-3-1_R,"[24, 19, 21, 21, 19, 15, 15, 11, 9, 11, 3]","[0, -9, -3, 3, 9, -3, 3, -9, 0, 9, 0]",David de Gea,Luke Shaw,Harry Maguire,Victor Lindelöf,Aaron Wan-Bissaka,Nemanja Matic,Paul Pogba,Marcus Rashford,Bruno Fernandes,Mason Greenwood,Anthony Martial,0,2-3
2020-09-26 22:00:00,CRY,4-4-2_L,"[-24, -18, -20, -20, -18, -10, -12, -12, -10, -4, -4]","[0, 9, 3, -3, -9, 9, 3, -3, -9, 3, -3]",Vicente Guaita,Tyrick Mitchell,Mamadou Sakho,Cheikhou Kouyaté,Joel Ward,Eberechi Eze,James McArthur,James McCarthy,Andros Townsend,Wilfried Zaha,Jordan Ayew,EVE,4-3-3-d_R,"[24, 18, 20, 20, 18, 12, 14, 12, 6, 4, 6]","[0, -9, -3, 3, 9, -3, 0, 3, -8, 0, 8]",Jordan Pickford,Lucas Digne,Michael Keane,Yerry Mina,Seamus Coleman,André Gomes,Allan,Abdoulaye Doucouré,Richarlison,Dominic Calvert-Lewin,James Rodríguez,0,1-2
