timestamp,team1,team1_shape,team1_player1_name,team1_player2_name,team1_player3_name,team1_player4_name,team1_player5_name,team1_player6_name,team1_player7_name,team1_player8_name,team1_player9_name,team1_player10_name,team1_player11_name,team2,team2_shape,team2_player1_name,team2_player2_name,team2_player3_name,team2_player4_name,team2_player5_name,team2_player6_name,team2_player7_name,team2_player8_name,team2_player9_name,team2_player10_name,team2_player11_name,result,score
"12:30 AM CT,September 20, 2020",MAN,4-2-3-1_L,David de Gea,Luke Shaw,Harry Maguire,Victor Lindelöf,Timothy Fosu-Mensah,Scott McTominay,Paul Pogba,Marcus Rashford,Bruno Fernandes,Daniel James,Anthony Martial,CRY,4-4-2_R,Vicente Guaita,Tyrick Mitchell,Mamadou Sakho,Cheikhou Kouyaté,Joel Ward,Jeff Schlupp,James McCarthy,James McArthur,Andros Townsend,Wilfried Zaha,Jordan Ayew,-1,1-3
"3:00 AM CT,September 20, 2020",ARS,3-4-3_L,Bernd Leno,Sead Kolasinac,Gabriel1,Rob Holding,Bukayo Saka,Granit Xhaka,Dani Ceballos,Héctor Bellerín,Pierre-Emerick Aubameyang,Alexandre Lacazette,Willian,WHU,5-4-1_R,Lukasz Fabianski,Arthur Masuaku,Aaron Cresswell,Angelo Ogbonna,Issa Diop,Ryan Fredericks,Pablo Fornals,Declan Rice,Tomás Soucek,Jarrod Bowen,Michail Antonio,1,2-1
"7:00 PM CT,September 20, 2020",SOU,4-4-2_L,Alex McCarthy,Ryan Bertrand,Jan Bednarek,Jack Stephens,Kyle Walker-Peters,Moussa Djenepo,Oriol Romeu,James Ward-Prowse,Stuart Armstrong,Danny Ings,Ché Adams,TOT,4-3-3-a_R,Hugo Lloris,Ben Davies1,Eric Dier,Davinson Sánchez,Matt Doherty,Harry Winks,Tanguy Ndombele,Pierre-Emile Hojbjerg,Son Heung-Min,Harry Kane,Lucas Moura,-1,2-5
"9:00 PM CT,September 20, 2020",NEW,4-4-2_L,Karl Darlow,Jamal Lewis,Federico Fernández,Jamaal Lascelles,Javier Manquillo,Allan Saint-Maximin,Isaac Hayden,Jonjo Shelvey,Jeff Hendrick,Callum Wilson,Andy Carroll,BHA,3-4-3_R,Mat Ryan,Adam Webster,Lewis Dunk,Ben White,Solly March,Steven Alzate,Yves Bissouma,Tariq Lamptey,Neal Maupay,Aaron Connolly,Leandro Trossard,-1,0-3
"11:30 PM CT,September 20, 2020",CHE,4-3-3-d_L,Kepa Arrizabalaga,Marcos Alonso,Kurt Zouma,Andreas Christensen,Reece James,Mateo Kovacic,N'Golo Kanté,Jorginho,Timo Werner,Kai Havertz,Mason Mount,LIV,4-3-3-d_R,Alisson,Andy Robertson,Virgil van Dijk,Fabinho,Trent Alexander-Arnold,Georginio Wijnaldum,Jordan Henderson,Naby Keita,Sadio Mané,Roberto Firmino,Mohamed Salah,-1,0-2
"2:00 AM CT,September 21, 2020",LEI,4-1-4-1_L,Kasper Schmeichel,James Justin,Caglar Söyüncü,Wilfred Ndidi,Timothy Castagne,Nampalys Mendy,Harvey Barnes,Dennis Praet,Youri Tielemans,Ayoze Pérez,Jamie Vardy,BUR,4-4-2_R,Nick Pope,Charlie Taylor,Jimmy Dunne,Kevin Long,Phil Bardsley,Dwight McNeil,Josh Brownhill,Ashley Westwood,Robbie Brady,Chris Wood,Jay Rodriguez,1,4-2
"1:00 AM CT,September 22, 2020",AVL,4-3-3-a_L,Emiliano Martínez,Matt Targett ,Tyrone Mings,Ezri Konsa ,Matthew Cash ,Douglas Luiz,John McGinn ,Conor Hourihane,Jack Grealish,Ollie Watkins,Trézéguet,SHU,3-5-2_R,Aaron Ramsdale,Jack O'Connell,John Egan ,Chris Basham,Enda Stevens,John Fleck,Sander Berge,John Lundstram,George Baldock,David McGoldrick,Oliver Burke,1,1-0
"3:15 AM CT,September 22, 2020",WOL,5-3-2_L,Rui Patrício,Fernando Marçal,Romain Saïss,Conor Coady,Willy Boly,Adama Traoré2,Pedro Neto,Rúben Neves,João Moutinho,Daniel Podence,Raúl Jiménez,MNC,4-2-3-1_R,Ederson,Benjamin Mendy,Nathan Aké,John Stones,Kyle Walker,Rodri,Fernandinho,Raheem Sterling,Kevin De Bruyne,Phil Foden,Gabriel Jesus,-1,1-3
"7:30 PM CT,September 26, 2020",BHA,3-4-3_L,Mat Ryan,Adam Webster,Lewis Dunk,Ben White,Solly March,Steven Alzate,Adam Lallana,Tariq Lamptey,Neal Maupay,Aaron Connolly,Leandro Trossard,MAN,4-2-3-1_R,David de Gea,Luke Shaw,Harry Maguire,Victor Lindelöf,Aaron Wan-Bissaka,Nemanja Matic,Paul Pogba,Marcus Rashford,Bruno Fernandes,Mason Greenwood,Anthony Martial,-1,2-3
"10:00 PM CT,September 26, 2020",CRY,4-4-2_L,Vicente Guaita,Tyrick Mitchell,Mamadou Sakho,Cheikhou Kouyaté,Joel Ward,Eberechi Eze,James McArthur,James McCarthy,Andros Townsend,Wilfried Zaha,Jordan Ayew,EVE,4-3-3-d_R,Jordan Pickford,Lucas Digne,Michael Keane,Yerry Mina,Seamus Coleman,André Gomes,Allan,Abdoulaye Doucouré,Richarlison,Dominic Calvert-Lewin,James Rodríguez,-1,1-2
"12:30 AM CT,September 27, 2020",WBA,5-4-1_L,Sam Johnstone,Conor Townsend,Dara O'Shea,Kyle Bartley,Semi Ajayi,Darnell Furlong,Grady Diangana,Romaine Sawyers,Jake Livermore,Matheus Pereira1,Callum Robinson,CHE,4-2-3-1_R,Wilfredo Caballero,Marcos Alonso,Thiago Silva,Andreas Christensen,Reece James,Mateo Kovacic,N'Golo Kanté,Timo Werner,Kai Havertz,Mason Mount,Tammy Abraham,0,3-3
"3:00 AM CT,September 27, 2020",BUR,4-4-2_L,Nick Pope,Charlie Taylor,Jimmy Dunne,Kevin Long,Phil Bardsley,Dwight McNeil,Dale Stephens,Ashley Westwood,Josh Brownhill,Matej Vydra,Chris Wood,SOU,4-4-2_R,Alex McCarthy,Ryan Bertrand,Jannik Vestergaard,Jan Bednarek,Kyle Walker-Peters,Moussa Djenepo,Oriol Romeu,James Ward-Prowse,Stuart Armstrong,Danny Ings,Ché Adams,-1,0-1
"7:00 PM CT,September 27, 2020",SHU,3-5-2_L,Aaron Ramsdale,Jack Robinson,Ethan Ampadu,Chris Basham,Enda Stevens,Ben Osborn,Sander Berge,John Lundstram,George Baldock,Oliver Burke,David McGoldrick,LEE,3-1-4-2_R,Illan Meslier,Liam Cooper,Robin Koch,Luke Ayling,Kalvin Phillips,Jack Harrison,Stuart Dallas,Mateusz Klich,Hélder Costa,Tyler Roberts,Patrick Bamford,-1,0-1
"9:00 PM CT,September 27, 2020",TOT,4-2-3-1_L,Hugo Lloris,Ben Davies1,Eric Dier,Davinson Sánchez,Matt Doherty,Harry Winks,Pierre-Emile Hojbjerg,Son Heung-Min,Giovani Lo Celso,Lucas Moura,Harry Kane,NEW,5-4-1_R,Karl Darlow,Matt Ritchie,Federico Fernández,Jamaal Lascelles,Isaac Hayden,Javier Manquillo,Joelinton,Jeff Hendrick,Jonjo Shelvey,Miguel Almirón,Callum Wilson,0,1-1
